Delivery_ID,PO_ID,Promised_Date,Delivery_Date,Delay_Days
DEL000001,PO000001,2025-10-20,2025-10-21,1
DEL000002,PO000002,2024-03-25,2024-03-24,-1
DEL000003,PO000003,2025-02-16,2025-02-19,3
DEL000004,PO000004,2025-11-02,2025-11-05,3
DEL000005,PO000005,2025-05-10,2025-05-10,0
DEL000006,PO000006,2025-06-27,2025-06-28,1
DEL000007,PO000007,2025-06-24,2025-06-24,0
DEL000008,PO000008,2025-04-20,2025-04-22,2
DEL000009,PO000009,2025-01-08,2025-01-08,0
DEL000010,PO000010,2024-12-18,2024-12-20,2
DEL000011,PO000011,2026-01-01,2026-01-03,2
DEL000012,PO000012,2024-07-06,2024-07-11,5
DEL000013,PO000013,2025-01-27,2025-01-31,4
DEL000014,PO000014,2024-06-12,2024-06-16,4
DEL000015,PO000015,2025-11-07,2025-11-05,-2
DEL000016,PO000016,2025-09-10,2025-09-12,2
DEL000017,PO000017,2025-12-06,2025-12-10,4
DEL000018,PO000018,2024-11-10,2024-11-12,2
DEL000019,PO000019,2025-10-04,2025-10-04,0
DEL000020,PO000020,2024-09-13,2024-09-11,-2
DEL000021,PO000021,2025-03-06,2025-03-11,5
DEL000022,PO000022,2025-04-30,2025-05-03,3
DEL000023,PO000023,2025-11-10,2025-11-09,-1
DEL000024,PO000024,2024-03-06,2024-03-10,4
DEL000025,PO000025,2025-12-24,2025-12-25,1
DEL000026,PO000026,2025-01-13,2025-01-12,-1
DEL000027,PO000027,2024-02-15,2024-02-14,-1
DEL000028,PO000028,2024-07-12,2024-07-10,-2
DEL000029,PO000029,2024-01-23,2024-01-23,0
DEL000030,PO000030,2024-10-21,2024-10-20,-1
DEL000031,PO000031,2025-09-21,2025-09-19,-2
DEL000032,PO000032,2026-01-11,2026-01-11,0
DEL000033,PO000033,2024-01-31,2024-01-31,0
DEL000034,PO000034,2025-10-24,2025-10-25,1
DEL000035,PO000035,2025-06-16,2025-06-21,5
DEL000036,PO000036,2024-03-15,2024-03-14,-1
DEL000037,PO000037,2025-08-11,2025-08-15,4
DEL000038,PO000038,2025-02-21,2025-02-25,4
DEL000039,PO000039,2025-06-14,2025-06-12,-2
DEL000040,PO000040,2024-04-24,2024-04-29,5
DEL000041,PO000041,2025-07-20,2025-07-19,-1
DEL000042,PO000042,2024-12-30,2024-12-29,-1
DEL000043,PO000043,2025-05-19,2025-05-18,-1
DEL000044,PO000044,2024-12-02,2024-12-01,-1
DEL000045,PO000045,2025-06-05,2025-06-09,4
DEL000046,PO000046,2025-11-17,2025-11-20,3
DEL000047,PO000047,2024-09-06,2024-09-09,3
DEL000048,PO000048,2025-10-22,2025-10-22,0
DEL000049,PO000049,2024-09-14,2024-09-17,3
DEL000050,PO000050,2025-11-04,2025-11-04,0
DEL000051,PO000051,2025-08-02,2025-08-01,-1
DEL000052,PO000052,2024-11-11,2024-11-10,-1
DEL000053,PO000053,2025-08-27,2025-08-25,-2
DEL000054,PO000054,2024-01-27,2024-01-27,0
DEL000055,PO000055,2024-11-01,2024-10-31,-1
DEL000056,PO000056,2024-02-01,2024-02-02,1
