PO_ID,Order_Date,Supplier_ID,Material_ID,Quantity,Unit_Price,Total_Cost
PO000001,2025-10-12,SUP004,MAT014,142,1217,172814
PO000002,2024-03-07,SUP015,MAT027,6770,18,121860
PO000003,2025-02-01,SUP010,MAT009,183,1376,251808
PO000004,2025-10-25,SUP004,MAT018,21,1656,34776
PO000005,2025-04-18,SUP012,MAT026,423,3035,1283805
PO000006,2025-06-03,SUP013,MAT011,149,965,143785
PO000007,2025-06-06,SUP015,MAT021,502,3500,1757000
PO000008,2025-04-03,SUP011,MAT009,101,1513,152813
PO000009,2025-01-01,SUP005,MAT012,152,1694,257488
PO000010,2024-12-04,SUP003,MAT021,761,738,561618
PO000011,2025-12-25,SUP005,MAT011,152,1842,279984
PO000012,2024-06-29,SUP005,MAT018,42,1577,66234
PO000013,2025-01-19,SUP017,MAT014,147,1980,291060
PO000014,2024-05-19,SUP013,MAT023,856,3792,3245952
PO000015,2025-10-16,SUP012,MAT028,6763,39,263757
PO000016,2025-09-01,SUP016,MAT009,124,2184,270816
PO000017,2025-11-14,SUP012,MAT022,220,264,58080
PO000018,2024-10-31,SUP018,MAT004,340,3919,1332460
PO000019,2025-09-25,SUP016,MAT030,102,1713,174726
PO000020,2024-08-20,SUP013,MAT013,383,2268,868644
PO000021,2025-02-15,SUP014,MAT007,135,3466,467910
PO000022,2025-04-15,SUP010,MAT011,186,717,133362
PO000023,2025-10-23,SUP015,MAT030,281,589,165509
PO000024,2024-02-23,SUP002,MAT019,24,2322,55728
PO000025,2025-12-09,SUP010,MAT013,965,515,496975
PO000026,2024-12-30,SUP003,MAT004,565,1267,715855
PO000027,2024-02-03,SUP002,MAT028,1158,24,27792
PO000028,2024-07-02,SUP001,MAT026,333,4304,1433232
PO000029,2024-01-15,SUP004,MAT016,9710,19,184490
PO000030,2024-10-09,SUP019,MAT024,376,3039,1142664
PO000031,2025-09-13,SUP004,MAT011,108,1813,195804
PO000032,2025-12-23,SUP014,MAT007,341,4033,1375253
